application_id,created_at,week_start,first_name,last_name,state,device,vendor,vendor_flagged,vendor_latency_ms,vendor_match_rate,commercial_po_box,ofac_partial,doc_mismatch,phone_tenure_days,ip_risk_score,name_match_score,engine_action,final_status,confirmed_fraud,queue_minutes,drop_step,active_balance,chargeoff_amount,sop_override,missing_kyc_attribute
APP-000001,2026-01-14T16:08:00,2026-01-12,Maya,Anderson,NC,android,challenger_id,0,722,0.8378,0,0,0,656,52,93,instant_approve,approved,0,0,,2544.09,0,1,0
APP-000002,2026-01-08T13:33:00,2026-01-05,Sofia,Johnson,GA,web,challenger_id,0,557,0.8524,0,0,0,696,52,96,instant_approve,approved,0,0,,2683.42,0,0,0
APP-000003,2026-02-06T13:42:00,2026-02-02,Noah,Johnson,OH,android,baseline_id,0,561,0.8642,0,0,0,278,18,99,instant_approve,approved,0,0,,949.32,0,0,0
APP-000004,2026-02-27T14:02:00,2026-02-23,Olivia,Smith,WA,android,challenger_id,0,664,0.859,0,0,0,19,40,95,instant_approve,approved,0,0,,987.72,0,0,0
APP-000005,2026-03-09T02:04:00,2026-03-09,Olivia,Smith,CA,android,challenger_id,0,534,0.9407,0,0,0,548,43,91,instant_approve,approved,0,0,,2798.4,0,0,0
APP-000006,2026-02-07T03:44:00,2026-02-02,Priya,Martinez,WA,ios,baseline_id,0,713,0.9718,0,0,0,342,42,88,instant_approve,approved,0,0,,1432.07,0,0,0
APP-000007,2026-03-10T15:39:00,2026-03-09,Olivia,Davis,CA,ios,baseline_id,0,577,0.8987,0,0,0,245,73,89,instant_approve,approved,0,0,,2965.42,0,0,0
APP-000008,2026-01-05T06:51:00,2026-01-05,Mia,Kim,CA,android,baseline_id,0,609,0.877,0,0,0,103,20,98,instant_approve,approved,0,0,,520.77,0,0,0
APP-000009,2026-01-13T00:38:00,2026-01-12,Mateo,Moore,NC,ios,baseline_id,0,325,0.8827,0,0,0,24,59,98,instant_approve,approved,0,0,,951.07,0,0,0
APP-000010,2026-04-26T13:34:00,2026-04-20,Sophia,Johnson,AZ,ios,challenger_id,0,781,0.9474,0,0,0,702,7,85,instant_approve,approved,0,0,,2383.75,0,0,0
APP-000011,2026-03-30T12:28:00,2026-03-30,Sophia,Kim,IL,ios,challenger_id,0,666,0.9564,0,0,0,681,51,98,instant_approve,approved,0,0,,485.45,0,0,0
APP-000012,2026-01-09T04:40:00,2026-01-05,Amir,Smith,FL,ios,baseline_id,0,818,0.905,0,0,0,139,48,86,instant_approve,approved,0,0,,2072.27,0,0,0
APP-000013,2026-04-28T06:17:00,2026-04-27,Noah,Johnson,OH,android,baseline_id,0,766,0.7258,0,0,0,344,34,95,instant_approve,approved,0,0,,1704.56,0,0,0
APP-000014,2026-03-08T13:17:00,2026-03-02,Priya,Johnson,AZ,ios,challenger_id,1,618,0.8654,1,0,0,427,0,87,instant_approve,approved,0,0,,966.61,0,1,0
APP-000015,2026-03-21T06:12:00,2026-03-16,Maya,Thomas,OH,android,challenger_id,0,514,0.8949,0,0,0,659,49,98,instant_approve,approved,0,0,,2093.27,0,0,0
APP-000016,2026-01-18T09:50:00,2026-01-12,Noah,Johnson,GA,android,baseline_id,0,563,0.8353,0,0,0,62,27,95,instant_approve,approved,0,0,,2295.07,0,0,0
APP-000017,2026-04-26T13:21:00,2026-04-20,Ethan,Kim,GA,android,challenger_id,0,399,0.9684,0,0,0,438,0,94,instant_approve,approved,0,0,,1972.67,0,0,0
APP-000018,2026-02-14T13:38:00,2026-02-09,Maya,Brown,AZ,ios,baseline_id,0,731,0.9097,0,0,0,353,41,94,instant_approve,approved,0,0,,2461.56,0,0,0
APP-000019,2026-04-01T00:40:00,2026-03-30,Ethan,Martinez,AZ,ios,challenger_id,1,510,0.9057,1,0,0,297,23,100,manual_review,approved,0,438,,2741.98,0,0,0
APP-000020,2026-04-03T17:04:00,2026-03-30,Ethan,Garcia,GA,ios,challenger_id,0,579,0.9776,0,0,0,53,4,97,instant_approve,approved,0,0,,2291.79,0,0,0
APP-000021,2026-04-04T03:28:00,2026-03-30,Sofia,Moore,OH,ios,baseline_id,0,1149,0.7816,0,0,0,496,1,88,instant_approve,approved,0,0,,2769.45,0,0,0
APP-000022,2026-03-15T00:12:00,2026-03-09,Lucas,Patel,WA,ios,challenger_id,0,647,0.9178,0,0,0,96,25,82,instant_approve,approved,0,0,,2828.84,0,0,0
